"","symbol","tair","top_spear_cor"
"AT5G43310","None","AT5G43310",0.108897044498616
"AT5G04110","GYRB3","AT5G04110",0.108895615390254
"AT5G65390","AGP7","AT5G65390",0.10888508902059
"AT1G21090","None","AT1G21090",0.108869676622653
"AT5G09680","RLF","AT5G09680",0.108848665890017
"AT1G10940","SRK2A","AT1G10940",0.10883530133625
"AT2G39705","RTFL8","AT2G39705",0.108828310906945
"AT4G00730","ANL2","AT4G00730",0.108828310906945
"AT1G50575","None","AT1G50575",0.108794568250154
"AT1G64040","TOPP3","AT1G64040",0.108794568250154
"AT4G09650","PDE332","AT4G09650",0.108788555632306
"AT4G23040","None","AT4G23040",0.108788555632306
"AT1G43170","RPL3A","AT1G43170",0.108746676329235
"AT1G03040","None","AT1G03040",0.108729558492625
"AT1G03090","MCCA","AT1G03090",0.108722704910369
"AT4G13615","None","AT4G13615",0.108712249394756
"AT5G49980","AFB5","AT5G49980",0.108700444004225
"AT2G14880","SWIB2","AT2G14880",0.108696737263533
"AT1G01510","DOQ","AT1G01510",0.108690570270761
"AT1G27920","MAP65-8","AT1G27920",0.108683384885546
"AT4G33865","None","AT4G33865",0.108642467029637
"AT1G12230","None","AT1G12230",0.108625698706648
"AT1G14020","RRT4","AT1G14020",0.108618027306002
"AT1G24450","NFD2","AT1G24450",0.108618027306002
"AT2G47380","None","AT2G47380",0.108618027306002
"AT5G58030","TRAPPC5","AT5G58030",0.108618027306002
"AT5G65207","None","AT5G65207",0.108618027306002
"AT2G36170","UBQ2","AT2G36170",0.108614034592592
"AT1G75540","STH2","AT1G75540",0.108595868555675
"AT2G24440","None","AT2G24440",0.108595868555675
"AT1G27420","None","AT1G27420",0.108590522277556
"AT2G43260","None","AT2G43260",0.108590522277556
"AT4G31910","PIZ","AT4G31910",0.108589381522324
"AT1G20930","CDKB2;2","AT1G20930",0.10854540042465
"AT1G63850","None","AT1G63850",0.10854540042465
"AT2G46470","OXA1L","AT2G46470",0.10854540042465
"AT3G16730","HEB2","AT3G16730",0.10854540042465
"AT4G19880","None","AT4G19880",0.10854540042465
"AT5G64816","None","AT5G64816",0.108526628186313
"AT3G50280","None","AT3G50280",0.108525050652768
"AT5G09220","AAP2","AT5G09220",0.108525050652768
"AT3G22142","None","AT3G22142",0.108491847064379
"AT3G46740","TOC75-III","AT3G46740",0.108491847064379
"AT1G50430","ST7R","AT1G50430",0.10846839920332
"AT4G09920","None","AT4G09920",0.108461851089219
"AT4G23620","None","AT4G23620",0.108457202444391
"AT5G15022","None","AT5G15022",0.108457202444391
"AT4G39400","DWF2","AT4G39400",0.108438715826873
"AT4G11690","ABO8","AT4G11690",0.108436721907528
"AT5G06400","None","AT5G06400",0.108436721907528
"AT1G18870","ICS2","AT1G18870",0.108420653152276
"AT2G43700","LECRK-V.4","AT2G43700",0.108420653152276
"AT3G43610","None","AT3G43610",0.108420653152276
"AT4G12300","CYP706A4","AT4G12300",0.108420653152276
"AT2G40110","None","AT2G40110",0.108412377599144
"AT3G27000","WRM","AT3G27000",0.108412377599144
"AT3G44370","OXA2B","AT3G44370",0.108412377599144
"AT4G20850","TPP2","AT4G20850",0.108397410626101
"AT4G20400","PKDM7B","AT4G20400",0.10839663474017
"AT5G13440","None","AT5G13440",0.108377825803846
"AT1G55805","BOLA2","AT1G55805",0.108362632152479
"AT3G04560","None","AT3G04560",0.108362632152479
"AT5G54670","KATC","AT5G54670",0.108348529350447
"AT5G59350","None","AT5G59350",0.108310199745471
"AT5G05540","SDN2","AT5G05540",0.108306388109311
"AT4G39460","SAMT1","AT4G39460",0.108294945575261
"AT2G42240","None","AT2G42240",0.108287661429014
"AT3G59910","None","AT3G59910",0.108287661429014
"AT5G20450","None","AT5G20450",0.108269553758309
"AT3G25860","PLE2","AT3G25860",0.108247074012174
"AT5G63880","VPS20.1","AT5G63880",0.108247074012174
"AT3G03595","None","AT3G03595",0.108226108353481
"AT1G19290","TANG2","AT1G19290",0.108206045575543
"AT3G55485","None","AT3G55485",0.108206045575543
"AT5G25800","None","AT5G25800",0.108206045575543
"AT2G13820","XYP2","AT2G13820",0.108184443031319
"AT3G26680","SNM1","AT3G26680",0.108167375688218
"AT5G35690","WSS1B","AT5G35690",0.108167375688218
"AT2G04690","None","AT2G04690",0.108132132061444
"AT3G22190","IQD5","AT3G22190",0.108120288691509
"AT3G61440","CYSC1","AT3G61440",0.108119445281016
"AT5G16420","None","AT5G16420",0.108106447068782
"AT3G60240","EIF4G","AT3G60240",0.108096515379983
"AT4G19120","ERD3","AT4G19120",0.108092674185188
"AT4G27820","BGLU9","AT4G27820",0.108092674185188
"AT2G34730","None","AT2G34730",0.108092199026589
"AT1G08630","THA1","AT1G08630",0.108089222568916
"AT3G15030","TCP4","AT3G15030",0.108089222568916
"AT4G23870","None","AT4G23870",0.108089222568916
"AT1G02010","SEC1A","AT1G02010",0.108082401319423
"AT1G01780","PLIM2B","AT1G01780",0.108081942129112
"AT3G22104","None","AT3G22104",0.108067091164912
"AT3G15390","SDE5","AT3G15390",0.108061045455335
"AT4G19610","None","AT4G19610",0.108059897142314
"AT1G64200","VHA-E3","AT1G64200",0.108041748485999
"AT4G32480","None","AT4G32480",0.108041748485999
"AT5G59010","BSK5","AT5G59010",0.108023337978143
"AT4G14430","PEC12","AT4G14430",0.107994920657367
"AT3G18710","PUB29","AT3G18710",0.107990584304909
"AT1G18480","SLP2","AT1G18480",0.10798031335445
"AT5G10270","CDKC;1","AT5G10270",0.10798031335445
"AT5G19860","None","AT5G19860",0.10798031335445
"AT5G35410","SOS2","AT5G35410",0.10798031335445
"AT3G61690","None","AT3G61690",0.107980105833058
"AT5G15080","None","AT5G15080",0.107962860824388
"AT2G26840","MOC1","AT2G26840",0.107961672785238
"AT5G47200","RAB1A","AT5G47200",0.107956004503551
"AT1G13230","None","AT1G13230",0.10795428572937
"AT5G00470","None","AT5G00470",0.10795428572937
"AT1G65010","None","AT1G65010",0.107944960670865
"AT1G76270","None","AT1G76270",0.107940164867837
"AT1G09750","None","AT1G09750",0.107939170142282
"AT2G46420","None","AT2G46420",0.107939170142282
"AT2G19270","None","AT2G19270",0.107930240304009
"AT3G61118","None","AT3G61118",0.107919047769092
"AT4G13800","ENOR3L3","AT4G13800",0.10790883883986
"AT1G04850","None","AT1G04850",0.107898848330572
"AT1G74690","IQD31","AT1G74690",0.107898848330572
"AT3G13670","PPK1","AT3G13670",0.107898848330572
"AT4G14270","None","AT4G14270",0.10789372406675
"AT2G02470","AL6","AT2G02470",0.107884077072608
"AT1G78260","None","AT1G78260",0.107868169164495
"AT5G44340","TUB4","AT5G44340",0.107852446180295
"AT5G03530","RABC2A","AT5G03530",0.107840002598892
"AT3G51710","None","AT3G51710",0.107839594900553
"AT3G10730","SUN2","AT3G10730",0.107815997792466
"AT3G50340","None","AT3G50340",0.107815997792466
"AT3G50410","OBP1","AT3G50410",0.107805247412172
"AT3G12060","TBL1","AT3G12060",0.107803982759563
"AT5G20890","None","AT5G20890",0.107795695423718
"AT4G14713","TIFY4A","AT4G14713",0.107776121142956
"AT5G27560","None","AT5G27560",0.107776121142956
"AT5G46910","JMJ13","AT5G46910",0.107775880276016
"AT4G23730","None","AT4G23730",0.107771136910328
"AT2G21385","CGLD11","AT2G21385",0.107766840572429
"AT2G18090","None","AT2G18090",0.107762048295107
"AT1G11100","FRG5","AT1G11100",0.107760102435244
"AT2G11320","None","AT2G11320",0.107760102435244
"AT3G53220","None","AT3G53220",0.107760102435244
"AT5G03390","ATDOA11","AT5G03390",0.107760102435244
"AT5G03720","HSFA3","AT5G03720",0.107760102435244
"AT5G16320","FRL1","AT5G16320",0.107760102435244
"AT5G41610","CHX18","AT5G41610",0.107760102435244
"AT5G56810","None","AT5G56810",0.107760102435244
"AT1G36390","CGE2","AT1G36390",0.107752652941869
"AT2G20710","None","AT2G20710",0.107743153730939
"AT3G09440","None","AT3G09440",0.107730022683921
"AT4G18480","LOST1","AT4G18480",0.107730022683921
"AT5G19140","ATAILP1","AT5G19140",0.107728015595516
"AT2G02060","None","AT2G02060",0.107696619227783
"AT2G25520","None","AT2G25520",0.10769092773581
"AT3G25920","RPL15","AT3G25920",0.107683109242155
"AT5G07290","ML4","AT5G07290",0.107675214171534
"AT1G58350","ZW18","AT1G58350",0.107674722547158
"AT5G52560","USP","AT5G52560",0.107646772321588
"AT2G43445","None","AT2G43445",0.107641454369824
"AT5G23750","None","AT5G23750",0.107641454369824
"AT5G66080","APD9","AT5G66080",0.107641454369824
"AT1G11720","SS3","AT1G11720",0.107636498571058
"AT1G17590","NF-YA8","AT1G17590",0.107635885107954
"AT3G17185","None","AT3G17185",0.107607208987069
"AT1G07615","OBG","AT1G07615",0.107604882754828
"AT4G19220","None","AT4G19220",0.107604882754828
"AT5G11510","MYB3R-4","AT5G11510",0.107604882754828
"AT5G13220","TIFY9","AT5G13220",0.107604882754828
"AT3G26710","CCB1","AT3G26710",0.107595867729201
"AT1G11440","None","AT1G11440",0.107592280527291
"AT4G32960","None","AT4G32960",0.107590978826463
"AT1G19080","TTN10","AT1G19080",0.107584116186302
"AT1G21390","EMB2170","AT1G21390",0.107584116186302
"AT1G22790","None","AT1G22790",0.107584116186302
"AT1G23440","None","AT1G23440",0.107584116186302
"AT1G50420","SCL3","AT1G50420",0.107584116186302
"AT2G37060","NF-YB8","AT2G37060",0.107584116186302
"AT2G42520","RH37","AT2G42520",0.107584116186302
"AT3G02700","None","AT3G02700",0.107584116186302
"AT3G04780","None","AT3G04780",0.107584116186302
"AT3G25120","None","AT3G25120",0.107584116186302
"AT5G57815","None","AT5G57815",0.107584116186302
"AT5G58020","RTF2","AT5G58020",0.107584116186302
"AT5G66000","None","AT5G66000",0.107584116186302
"AT1G11475","NRPE10","AT1G11475",0.107561888929754
"AT4G15020","None","AT4G15020",0.107561888929754
"AT5G01270","CPL2","AT5G01270",0.107553718938088
"AT3G04830","None","AT3G04830",0.107550762405369
"AT5G00780","None","AT5G00780",0.10750460996355
"AT3G48830","None","AT3G48830",0.107500373524578
"AT3G63210","MARD1","AT3G63210",0.107500373524578
"AT5G58900","DIV1","AT5G58900",0.107500373524578
"AT1G61000","NUF2","AT1G61000",0.10749777894839
"AT1G52080","AR791","AT1G52080",0.107480945706221
"AT4G21560","VPS28-1","AT4G21560",0.10747125003792
"AT5G17760","None","AT5G17760",0.10747125003792
"AT2G41220","GLU2","AT2G41220",0.107459211383263
"AT5G61190","None","AT5G61190",0.107442044935168
"AT2G38770","MAC7","AT2G38770",0.107414622102537
"AT2G41560","ACA4","AT2G41560",0.107400578577241
"AT5G43020","None","AT5G43020",0.107392860979173
"AT2G44650","CPN10","AT2G44650",0.10737599738768
"AT5G19690","STT3A","AT5G19690",0.107373475679584
"AT3G56960","PIP5K4","AT3G56960",0.107369687779274
"AT5G09660","PMDH2","AT5G09660",0.10736687703337
"AT5G40870","UKL1","AT5G40870",0.107363654678317
"AT3G02460","None","AT3G02460",0.107354961915517
"AT5G37500","GORK","AT5G37500",0.107340216765637
"AT1G60460","MTOPVIB","AT1G60460",0.107339198924031
"AT1G11592","None","AT1G11592",0.10733129196844
"AT4G29850","None","AT4G29850",0.10733129196844
"AT4G39838","None","AT4G39838",0.10733129196844
"AT2G18250","COAD","AT2G18250",0.107327306453686
"AT5G06710","HAT14","AT5G06710",0.107327306453686
"AT5G28490","OBO2","AT5G28490",0.107327306453686
"AT3G04260","PTAC3","AT3G04260",0.10732635132185
"AT3G06790","MORF3","AT3G06790",0.107325359668406
"AT1G10657","None","AT1G10657",0.107317740924311
"AT1G33140","PGY2","AT1G33140",0.107305562511275
"AT1G20691","None","AT1G20691",0.10730147787176
"AT2G40316","None","AT2G40316",0.10730147787176
"AT3G06770","None","AT3G06770",0.107290168875878
"AT1G06820","CRTISO","AT1G06820",0.107279027408395
"AT1G27390","TOM20-2","AT1G27390",0.107276182293325
"AT5G08660","PSI3","AT5G08660",0.107276182293325
"AT5G62300","None","AT5G62300",0.107252273761134
"AT3G45750","None","AT3G45750",0.107247329694457
"AT1G06515","SSSPTA","AT1G06515",0.107233612773435
"AT2G14045","None","AT2G14045",0.10722662078889
"AT2G30490","REF3","AT2G30490",0.107217036605435
"AT4G31290","GGCT2;2","AT4G31290",0.107217036605435
"AT1G76150","ECH2","AT1G76150",0.107202110592148
"AT1G69710","None","AT1G69710",0.107199051475113
"AT3G13380","BRL3","AT3G13380",0.107199051475113
"AT1G07990","None","AT1G07990",0.107169589469386
"AT2G32770","PAP13","AT2G32770",0.107154262941937
"AT4G04020","PGL35","AT4G04020",0.107154262941937
"AT2G04900","None","AT2G04900",0.107120864075977
"AT2G38995","None","AT2G38995",0.107105517990415
"AT4G30100","None","AT4G30100",0.107102862566129
"AT1G61640","None","AT1G61640",0.107101076852936
"AT4G19020","CMT2","AT4G19020",0.107101070246731
"AT1G22930","None","AT1G22930",0.107092269179564
"AT2G05100","LHCB2.1","AT2G05100",0.107090660873149
"AT3G05640","EGR1","AT3G05640",0.107090660873149
"AT5G48180","NSP5","AT5G48180",0.107090660873149
"AT1G21150","None","AT1G21150",0.107086540158613
"AT5G14530","S2LA","AT5G14530",0.107086540158613
"AT1G76060","EMB1793","AT1G76060",0.107067530702659
"AT3G50650","None","AT3G50650",0.107067530702659
"AT5G10310","ATEPFL1","AT5G10310",0.107054825050483
"AT4G32250","KOC1","AT4G32250",0.10703757263381
"AT5G13960","SUVH4","AT5G13960",0.107023786635116
"AT5G62690","TUB2","AT5G62690",0.107016363891804
"AT1G65030","None","AT1G65030",0.107009861549689
"AT2G31160","OBO1","AT2G31160",0.107000055741191
"AT3G18520","HDA15","AT3G18520",0.10698051164921
"AT1G63160","RFC2","AT1G63160",0.106964082424026
"AT2G34190","None","AT2G34190",0.106951225643033
"AT1G16040","None","AT1G16040",0.106946915336006
"AT2G43500","NLP8","AT2G43500",0.106946915336006
"AT4G10060","None","AT4G10060",0.106946915336006
"AT1G09900","None","AT1G09900",0.106944979746756
"AT5G54100","SLP2","AT5G54100",0.106942100964841
"AT3G11640","None","AT3G11640",0.106942089191948
"AT3G25710","TMO5","AT3G25710",0.106933683531539
"AT1G08250","ATADT6","AT1G08250",0.106926176647281
"AT1G72690","None","AT1G72690",0.106926176647281
"AT1G79590","SYP52","AT1G79590",0.106926176647281
"AT2G42370","None","AT2G42370",0.106926176647281
"AT3G60180","None","AT3G60180",0.106926176647281
"AT5G23130","None","AT5G23130",0.106926176647281
"AT4G20770","None","AT4G20770",0.106918537304018
"AT1G52030","MBP2","AT1G52030",0.106916584353454
"AT4G36930","SPT","AT4G36930",0.106893116290603
"AT1G62970","SDJ3","AT1G62970",0.106876470965493
"AT5G22460","None","AT5G22460",0.106876470965493
"AT1G02080","NOT1","AT1G02080",0.106855820999629
"AT5G65700","BAM1","AT5G65700",0.106852958171845
"AT4G38130","RPD3A","AT4G38130",0.106848953408857
"AT4G01995","None","AT4G01995",0.106848387717585
"AT1G04270","RPS15","AT1G04270",0.106836517635714
"AT1G05400","None","AT1G05400",0.106825041740591
"AT1G64380","None","AT1G64380",0.106825041740591
"AT1G70820","None","AT1G70820",0.106825041740591
"AT3G52070","None","AT3G52070",0.106825041740591
"AT3G59580","NLP9","AT3G59580",0.106825041740591
"AT5G09600","SDH3-1","AT5G09600",0.106825041740591
"AT5G13300","VAN3","AT5G13300",0.106801294647419
"AT2G24150","HHP3","AT2G24150",0.106793722961099
"AT4G16480","INT4","AT4G16480",0.106792589784509
"AT3G05650","RLP32","AT3G05650",0.106748617567436
"AT1G13060","PBE1","AT1G13060",0.106744321389058
"AT2G18900","None","AT2G18900",0.10672664919918
"AT4G10840","KLCR1","AT4G10840",0.106724414515003
"AT3G19050","POK2","AT3G19050",0.106703164735773
"AT5G60030","None","AT5G60030",0.106698061715373
"AT3G56910","PSRP5","AT3G56910",0.106690807812984
"AT3G15940","None","AT3G15940",0.106686937882466
"AT4G24990","MUB3","AT4G24990",0.106686937882466
"AT3G19970","None","AT3G19970",0.106678995430813
"AT3G47070","None","AT3G47070",0.106678995430813
"AT1G02670","None","AT1G02670",0.106675681482505
"AT2G41840","None","AT2G41840",0.106673373129369
"AT2G39220","PLP6","AT2G39220",0.106671316617163
"AT4G10340","LHCB5","AT4G10340",0.106657083093925
"AT4G36360","BGAL3","AT4G36360",0.10664240140703
"AT5G22310","None","AT5G22310",0.106637270431129
"AT5G15820","None","AT5G15820",0.106634562109677
"AT4G00480","MYC1","AT4G00480",0.106618934065045
"AT1G52590","None","AT1G52590",0.106612095246201
"AT4G25910","NFU3","AT4G25910",0.106612095246201
"AT3G26000","RIFP1","AT3G26000",0.106596389400593
"AT2G21870","PHI1","AT2G21870",0.106592503224388
"AT2G42920","None","AT2G42920",0.106590572279008
"AT1G23935","None","AT1G23935",0.106588556169263
"AT1G26170","None","AT1G26170",0.106583452820325
"AT1G77580","VETH3","AT1G77580",0.106568943969919
"AT4G03415","PP2C52","AT4G03415",0.106566062446975
"AT1G61460","None","AT1G61460",0.106558715506737
"AT1G62680","None","AT1G62680",0.106558715506737
"AT1G75130","CYP721A1","AT1G75130",0.106558715506737
"AT4G38770","PRP4","AT4G38770",0.106558715506737
"AT4G39600","None","AT4G39600",0.106558715506737
"AT5G25830","GATA12","AT5G25830",0.106558715506737
"AT5G36960","None","AT5G36960",0.106558715506737
"AT5G41270","None","AT5G41270",0.106558715506737
"AT5G59740","None","AT5G59740",0.106558715506737
"AT1G33590","None","AT1G33590",0.106550610042242
"AT3G28370","None","AT3G28370",0.106548821441354
"AT3G61770","VPS30","AT3G61770",0.106538490744234
"AT4G31930","None","AT4G31930",0.106538490744234
"AT4G33780","None","AT4G33780",0.106538490744234
"AT4G36900","RAP2.10","AT4G36900",0.106538490744234
"AT1G70490","ATARFA1D","AT1G70490",0.106530964203154
"AT1G74850","PTAC2","AT1G74850",0.106527940421807
"AT2G46060","None","AT2G46060",0.106500094342731
"AT4G03270","CYCD6;1","AT4G03270",0.106500094342731
"AT5G56160","None","AT5G56160",0.106500094342731
"AT2G20110","None","AT2G20110",0.106489070645291
"AT5G41690","None","AT5G41690",0.106489070645291
"AT2G26270","None","AT2G26270",0.106483922898511
"AT5G51350","MOL1","AT5G51350",0.106483922898511
"AT5G65450","UBP17","AT5G65450",0.106483922898511
"AT4G31150","None","AT4G31150",0.106470938669923
"AT5G38565","None","AT5G38565",0.10646821238083
"AT3G46920","None","AT3G46920",0.106467240383342
"AT5G25270","None","AT5G25270",0.106457155819769
"AT5G58070","TIL","AT5G58070",0.106451239188645
"AT3G61960","None","AT3G61960",0.106451205982036
"AT1G18670","IBS1","AT1G18670",0.106428254082564
"AT1G30400","MRP1","AT1G30400",0.106426968507721
"AT1G28400","None","AT1G28400",0.106407001757069
"AT4G37890","EDA40","AT4G37890",0.10640273809108
"AT1G67140","SWEETIE","AT1G67140",0.106393130652613
"AT5G27460","None","AT5G27460",0.106390926383944
"AT5G47730","None","AT5G47730",0.106386097522625
"AT5G51940","NRPE6A","AT5G51940",0.106381383250193
"AT4G37900","ATGRDP2","AT4G37900",0.106378703701069
"AT4G08950","EXO","AT4G08950",0.106363289708066
"AT3G27240","None","AT3G27240",0.106340442741436
"AT1G64440","UGE4","AT1G64440",0.106332424561587
"AT3G09350","FES1A","AT3G09350",0.106320972582887
"AT1G30620","UXE1","AT1G30620",0.106305467905975
"AT1G67730","YBR159","AT1G67730",0.106296364852771
"AT1G05440","None","AT1G05440",0.106295979143058
"AT2G44880","AHG11","AT2G44880",0.106295458976153
"AT2G22910","NAGS1","AT2G22910",0.106289361136784
"AT1G12780","UGE1","AT1G12780",0.106284757415608
"AT5G07070","SNRK3.2","AT5G07070",0.106277365478511
"AT2G29525","ATIPCS3","AT2G29525",0.106274959708926
"AT5G16930","None","AT5G16930",0.106274959708926
"AT1G80040","None","AT1G80040",0.106273854734198
"AT1G56130","None","AT1G56130",0.106270312731868
"AT2G18990","TXND9","AT2G18990",0.106270312731868
"AT2G43180","None","AT2G43180",0.106270312731868
"AT3G23710","TIC22-III","AT3G23710",0.106270312731868
"AT3G60380","None","AT3G60380",0.106270312731868
"AT1G30320","None","AT1G30320",0.106257480484904
"AT1G59760","MTR4","AT1G59760",0.106249675705129
"AT4G36010","None","AT4G36010",0.106243057258314
"AT5G49990","None","AT5G49990",0.106243057258314
"AT2G46440","CNGC11","AT2G46440",0.106232632923086
"AT2G48100","None","AT2G48100",0.106230464669144
"AT1G12120","None","AT1G12120",0.106196765684207
"AT1G56660","None","AT1G56660",0.10619501637678
"AT5G13470","None","AT5G13470",0.10619501637678
"AT1G15230","None","AT1G15230",0.106134731631639
"AT5G34850","PAP26","AT5G34850",0.106130347748301
"AT5G60550","GRIK2","AT5G60550",0.10612681866115
"AT2G47520","HRE2","AT2G47520",0.106125593375161
"AT1G75760","None","AT1G75760",0.106124919949183
"AT1G74050","None","AT1G74050",0.106122401819174
"AT2G19090","None","AT2G19090",0.106101941794318
"AT4G37540","LBD39","AT4G37540",0.106067620507203
"AT2G45520","None","AT2G45520",0.106054253511025
"AT3G12300","BUG22","AT3G12300",0.10605293415099
"AT4G36180","None","AT4G36180",0.106047175877698
"AT2G42320","None","AT2G42320",0.106043110740764
"AT4G37030","None","AT4G37030",0.106032635861015
"AT3G06270","None","AT3G06270",0.106027618773458
"AT5G59390","None","AT5G59390",0.106027618773458
"AT1G27840","ATCSA-1","AT1G27840",0.106004106692739
"AT1G72820","None","AT1G72820",0.106004106692739
"AT2G39270","None","AT2G39270",0.106004106692739
"AT2G44770","None","AT2G44770",0.106004106692739
"AT3G06050","PRXIIF","AT3G06050",0.106004106692739
"AT3G20240","None","AT3G20240",0.106004106692739
"AT3G52630","RPA3A","AT3G52630",0.106004106692739
"AT4G02550","None","AT4G02550",0.106004106692739
"AT5G47420","None","AT5G47420",0.106004106692739
"AT5G61090","None","AT5G61090",0.106004106692739
"AT5G61865","None","AT5G61865",0.106004106692739
"AT5G64920","CIP8","AT5G64920",0.106004106692739
"AT2G24940","MAPR2","AT2G24940",0.105982873127123
"AT1G78265","None","AT1G78265",0.105972072889207
"AT5G51860","AGL72","AT5G51860",0.105972072889207
"AT1G18180","None","AT1G18180",0.105942002081078
"AT1G43245","None","AT1G43245",0.105942002081078
"AT2G23600","MES2","AT2G23600",0.105942002081078
"AT3G22820","EPFL5","AT3G22820",0.105942002081078
"AT4G09500","None","AT4G09500",0.105942002081078
"AT5G60450","ARF4","AT5G60450",0.105915330797557
"AT2G27040","OCP11","AT2G27040",0.105906019921375
"AT1G02120","VAD1","AT1G02120",0.105874472675159
"AT5G03190","CPUORF47","AT5G03190",0.105870026990645
"AT4G09180","FBH2","AT4G09180",0.105868534936662
"AT2G47060","PTI1-4","AT2G47060",0.105859798038692
"AT5G01470","None","AT5G01470",0.105858002794838
"AT5G01935","None","AT5G01935",0.105856674658598
"AT2G23000","SCPL10","AT2G23000",0.105855034529932
"AT5G09970","CYP78A7","AT5G09970",0.105855034529932
"AT5G57110","AT-ACA8","AT5G57110",0.105853540262624
"AT1G09185","None","AT1G09185",0.105847246200221
"AT1G05070","None","AT1G05070",0.105838430156176
"AT5G39840","None","AT5G39840",0.105824433778594
"AT2G16950","TRN1","AT2G16950",0.105823670598488
"AT3G06480","RH40","AT3G06480",0.105823670598488
"AT2G45620","URT1","AT2G45620",0.105791975840572
"AT5G48880","PKT2","AT5G48880",0.105791000326263
"AT5G03670","TRM28","AT5G03670",0.10579082669322
"AT2G19540","HTD1","AT2G19540",0.105790527393509
"AT4G00030","None","AT4G00030",0.105788889875333
"AT2G40590","None","AT2G40590",0.105788295824785
"AT2G16860","ATSYF2","AT2G16860",0.105775762665129
"AT1G27600","IRX9-L","AT1G27600",0.105738460564994
"AT5G41100","None","AT5G41100",0.105738460564994
"AT5G48120","MMS19","AT5G48120",0.105738460564994
"AT1G75840","ROP4","AT1G75840",0.105734650904102
"AT5G05820","UUAT3","AT5G05820",0.105721302229449
"AT5G52040","RS41","AT5G52040",0.105715460072037
"AT3G50210","None","AT3G50210",0.10571357416558
"AT5G19010","MPK16","AT5G19010",0.10571357416558
"AT1G01350","None","AT1G01350",0.105691205535699
"AT3G23990","HSP60-3B","AT3G23990",0.105690769195884
"AT2G33840","None","AT2G33840",0.10568555798702
"AT5G41080","GDPD2","AT5G41080",0.105680619908371
"AT5G66720","None","AT5G66720",0.105665462352509
"AT5G15210","ZHD8","AT5G15210",0.105640732931314
"AT4G13170","None","AT4G13170",0.105638942612893
"AT4G21534","SPHK2","AT4G21534",0.105638942612893
"AT4G12610","RAP74","AT4G12610",0.105629611962661
"AT2G41720","EMB2654","AT2G41720",0.105628934039619
"AT5G17840","None","AT5G17840",0.1056211505446
"AT4G25120","SRS2","AT4G25120",0.105593259863576
"AT3G19420","PTEN2A","AT3G19420",0.105581658189074
"AT1G75295","None","AT1G75295",0.105580903970363
"AT1G09130","None","AT1G09130",0.105568929921935
"AT1G51610","None","AT1G51610",0.105568929921935
"AT1G77350","None","AT1G77350",0.105568929921935
"AT3G21865","PEX22","AT3G21865",0.105568929921935
"AT1G51690","B","AT1G51690",0.105564337726093
"AT2G25964","None","AT2G25964",0.105548707087899
"AT2G45050","GATA2","AT2G45050",0.105545940548062
"AT4G01883","MLBP1","AT4G01883",0.105530498588472
"AT3G46560","TIM9","AT3G46560",0.105525248538941
"AT2G34970","None","AT2G34970",0.105519413556687
"AT5G47090","None","AT5G47090",0.105519413556687
"AT3G53350","RIP4","AT3G53350",0.105509266056842
"AT1G12830","None","AT1G12830",0.105494625902623
"AT2G45100","None","AT2G45100",0.105491331754201
"AT5G41190","NOB1","AT5G41190",0.105486308806565
"AT3G62150","PGP21","AT3G62150",0.10548499106818
"AT3G05810","None","AT3G05810",0.105481113188906
"AT3G53240","RLP45","AT3G53240",0.105481113188906
"AT3G63090","None","AT3G63090",0.105481113188906
"AT4G27580","None","AT4G27580",0.105469840577854
"AT4G34140","None","AT4G34140",0.105464112479404
"AT1G30840","PUP4","AT1G30840",0.105457361695688
"AT3G48430","REF6","AT3G48430",0.10545707645651
"AT1G20760","ATEH1","AT1G20760",0.105455997162649
"AT3G63130","RANGAP1","AT3G63130",0.105427746708347
"AT2G20860","LIP1","AT2G20860",0.105423736131462
"AT3G03090","VGT1","AT3G03090",0.105419774690168
"AT1G79050","RECA1","AT1G79050",0.105418224344828
"AT3G17365","None","AT3G17365",0.105418224344828
"AT1G10320","None","AT1G10320",0.105380010307305
"AT1G16430","None","AT1G16430",0.105375882172741
"AT1G35530","FANCM","AT1G35530",0.105375882172741
"AT2G31800","None","AT2G31800",0.105375882172741
"AT1G78920","VP2","AT1G78920",0.105375565803267
"AT5G24030","SLAH3","AT5G24030",0.105372782771434
"AT3G14600","None","AT3G14600",0.105343370284139
"AT1G48300","DGAT3","AT1G48300",0.105334791272164
"AT2G39090","ATAPC7","AT2G39090",0.105328637920289
"AT5G01650","None","AT5G01650",0.105328637920289
"AT4G04860","DER2.2","AT4G04860",0.10532542972616
"AT1G23020","FRO3","AT1G23020",0.10531348338736
"AT1G29195","None","AT1G29195",0.10531348338736
"AT2G00670","None","AT2G00670",0.10531348338736
"AT2G17705","None","AT2G17705",0.10531348338736
"AT2G30900","TBL43","AT2G30900",0.10531348338736
"AT4G21310","DEAL2","AT4G21310",0.10531348338736
"AT5G61360","None","AT5G61360",0.10531348338736
"AT3G19330","None","AT3G19330",0.105307599812557
"AT2G37678","PAT3","AT2G37678",0.105300807035607
"AT1G27050","None","AT1G27050",0.10529779159118
"AT5G42890","SCP2","AT5G42890",0.105290903793175
"AT2G26540","UROS","AT2G26540",0.105284416544865
"AT3G24460","None","AT3G24460",0.105262274870962
"AT2G42260","UVI4","AT2G42260",0.105227577825296
"AT5G28290","NEK3","AT5G28290",0.105226034604826
