"","symbol","tair","top_spear_cor"
"AT2G38540","LTP1","AT2G38540",0.235425115636731
"AT1G71695","None","AT1G71695",0.233617819770423
"AT4G34400","TFS1","AT4G34400",0.233254925259881
"AT2G32690","GRP23","AT2G32690",0.233212072630706
"AT1G68540","TKPR2","AT1G68540",0.23247870321547
"AT2G34220","MEE20","AT2G34220",0.23247870321547
"AT3G19508","None","AT3G19508",0.23247870321547
"AT3G26539","None","AT3G26539",0.23247870321547
"AT4G12080","ATAHL1","AT4G12080",0.23247870321547
"AT5G54630","None","AT5G54630",0.232478617862447
"AT1G78210","None","AT1G78210",0.232029509921001
"AT5G06270","GIR1","AT5G06270",0.231774145947679
"AT4G29960","EBS7","AT4G29960",0.2312913715076
"AT5G45850","None","AT5G45850",0.230752511669961
"AT3G02110","SCPL25","AT3G02110",0.22937479297911
"AT5G05810","ATL43","AT5G05810",0.2292194723654
"AT4G32460","BDX","AT4G32460",0.228348863498043
"AT1G06310","ACX6","AT1G06310",0.226867833618144
"AT5G65530","ATRLCK","AT5G65530",0.226638805153181
"AT3G55120","TT5","AT3G55120",0.226203850708962
"AT1G01120","KCS1","AT1G01120",0.22540410627206
"AT2G36050","OFP15","AT2G36050",0.22540410627206
"AT1G68640","TGA8","AT1G68640",0.225160383313674
"AT3G57030","None","AT3G57030",0.224867393499721
"AT1G54410","HIRD11","AT1G54410",0.223711483023247
"AT3G61550","None","AT3G61550",0.223615368699327
"AT5G22430","None","AT5G22430",0.222818699019037
"AT3G16890","PPR40","AT3G16890",0.222724147951211
"AT4G24060","None","AT4G24060",0.222627179829907
"AT4G25960","PGP2","AT4G25960",0.222187103194548
"AT3G22890","ATPS1","AT3G22890",0.221839747656624
"AT4G25150","None","AT4G25150",0.221839747656624
"AT1G33930","IAN6","AT1G33930",0.221280685131352
"AT4G32980","ATH1","AT4G32980",0.220880838172943
"AT2G07638","None","AT2G07638",0.220180110049852
"AT3G15605","None","AT3G15605",0.220180110049852
"AT3G61113","URM12","AT3G61113",0.220180110049852
"AT5G43780","ATPS4","AT5G43780",0.220180110049852
"AT1G06450","CAF1G","AT1G06450",0.21981688488057
