"","cluster_1","cluster_4","cluster_0","cluster_5","cluster_3","cluster_8","cluster_12","cluster_7","cluster_6","cluster_2","cluster_11","cluster_10","cluster_9"
"50",0.154482334256115,0.0974877970724587,0.261237748559457,0.0659192169115248,0.0994113843607404,0.0393909189707606,0.0143175228861814,0.0377818842012286,0.0309658422252344,0.119598386630168,0.0277300070767397,0.0313821616527295,0.0202989682753073
"51",0.14325573949516,0.100788654609344,0.268151670927308,0.0657845464444229,0.100667452739377,0.0331778358342645,0.0102926805438334,0.0507697163857378,0.0286711143837521,0.11464843445729,0.0307740302481507,0.0356227728786375,0.017392195938799
"52",0.17768706384712,0.130206512558803,0.190926610057369,0.076725642883307,0.121483098803129,0.035159585492576,0.0100823065077052,0.0374889307297471,0.0400551932787834,0.106648972740483,0.0274758064894943,0.0322888030227676,0.0137878414956588
"53",0.153968750577777,0.115610683989616,0.214818273975969,0.0733953024312256,0.114869395725576,0.0324417036691295,0.0090787434202531,0.0574060857113628,0.033334776917864,0.120512434560729,0.0275463947270897,0.0329344004327787,0.0140966748274705
"54",0.173663869852846,0.134330000668058,0.193226552698515,0.0777251069697808,0.120446267557472,0.0348881176573735,0.0104643082895789,0.0365506728871183,0.042146095772758,0.102577327013369,0.0268489826243489,0.032865046906221,0.0142510349254637
"55",0.1509871463575,0.109236330750975,0.236687900317443,0.0704005429200257,0.110437039179915,0.0314980166804249,0.00907338913705577,0.0516709906303586,0.0335453912678371,0.114271573776361,0.0301418408541823,0.0356056847885304,0.0164497897053326
"56",0.171397021447519,0.131375141700833,0.196521931508802,0.0753720422916033,0.120877589908682,0.0331564663786536,0.0102740459646492,0.0372199862513328,0.0408868986704362,0.105276699446362,0.0287615648864611,0.0348350622797241,0.0140513544183217
"57",0.174853525591064,0.132832338282402,0.192717108495074,0.077324347878534,0.12081895369348,0.0349759627750173,0.0103271956645613,0.0368582290709874,0.0414206506213867,0.103959039631592,0.0271097688382496,0.032689386161504,0.01411517729721
"58",0.182513504661783,0.110409367560307,0.206205145104262,0.0701782069771953,0.107319817651351,0.0406553064912972,0.0167000418962664,0.0402972463773526,0.0322407707006234,0.126558090061275,0.0251519245806554,0.0276369465651454,0.0141378028909382
"59",0.172126351628316,0.130686983541172,0.196044297322017,0.0752907697402551,0.120949233073913,0.033187148080923,0.0102220571698491,0.0374037544592906,0.040558071083628,0.105987563445883,0.0288441951053187,0.0347297841560072,0.0139715610602133
"60",0.139277215395268,0.102327282926485,0.272532949599165,0.0658418561506509,0.0999967376221506,0.0330168156489673,0.01047103400187,0.0496450546516649,0.0297943747444118,0.111987569486335,0.0309484619813173,0.0361433643338714,0.0180150636932514
"61",0.169413839445568,0.133304875919083,0.197887834109907,0.0756193640611357,0.120547309597223,0.0330473332670648,0.0104403529538373,0.0367182553214528,0.0418120551377782,0.103265651880878,0.028488769049671,0.0351568573520218,0.0142922540787223
"63",0.173016808494628,0.130024060115954,0.195271105737574,0.0752336630155369,0.121082322297483,0.0332311070013362,0.0101635199895075,0.0376007022546609,0.040206845740299,0.10680487963016,0.0289159294066101,0.0345753511443651,0.0138596799977366
"64",0.179747540897245,0.128686500819223,0.18933326309226,0.0764272970733415,0.121839667825771,0.0352781411199363,0.00993860423544028,0.0379082322974022,0.0392138957248608,0.108441959055067,0.0276288434998956,0.0319999085996432,0.0135521939458658
"65",0.173975113146721,0.129326377651906,0.194479209257266,0.0751828508060562,0.121194295464188,0.0332737765764468,0.0101036162830355,0.0378190203550361,0.0398502574427,0.107647498732308,0.0289839667518695,0.0344302799420187,0.0137425007816512
"66",0.166751918720184,0.137148884300943,0.198903336719253,0.0763913123509913,0.119825928107365,0.0328744028302678,0.0107744513797372,0.0358903167563868,0.0435263826451667,0.0999260339026215,0.027760614425403,0.0355989986548395,0.0146277185249131
"67",0.176156459224451,0.115208784427851,0.211561219829807,0.0711845328624006,0.106078193397934,0.0410041835974965,0.0165443125823443,0.0380027102122682,0.0348188537620981,0.121769431431664,0.0246752992364918,0.0280601022040587,0.0149430614074378
"68",0.124861433486076,0.0972643639626874,0.299712983758487,0.064011785105459,0.0959423350157617,0.0293259214399158,0.0107784659723187,0.0503251954926027,0.029284627266123,0.107934984598575,0.0293353201209881,0.0408296236158557,0.0204030047198137
"69",0.168327582136838,0.134574907922004,0.198461577009971,0.0758441884465244,0.120310471564517,0.0329822822431468,0.0105534932726674,0.0364188269209357,0.0424003736781667,0.102075569485504,0.0282717365683692,0.0353367109599953,0.0144267258590906
"70",0.17608459620422,0.115280640793418,0.211629058884468,0.0712057047213868,0.106048872469076,0.0410093299892098,0.0165455190352473,0.0379654747979736,0.0348562096040193,0.121705294629164,0.0246647807501236,0.0280615103704238,0.0149564123425011
"71",0.15050691717612,0.10946273771035,0.237084559607097,0.0704445237175084,0.11043025652816,0.0314836479507278,0.00909074842403771,0.0515483372386622,0.0337036583370756,0.113937573573599,0.0301550039593986,0.035656149504769,0.0164950756402184
"72",0.176185961653932,0.127794447743751,0.192592903267459,0.0751041587372257,0.121408553289307,0.0333722417351905,0.00997582059861587,0.0383101154646374,0.0390463176107808,0.109554835775563,0.0291050198021358,0.0340842268831421,0.0134857109156829
"73",0.152692405477362,0.108585632313768,0.235033680189781,0.0702994057007835,0.110536578529056,0.031567315890778,0.00900552628151976,0.052119251312579,0.0329874787503278,0.115405863016856,0.0301217911423424,0.0353980857313497,0.0162369560708963
"74",0.173377246182671,0.134745128904942,0.193318517521179,0.0778448167704567,0.120331818548588,0.034866847022614,0.010502983567774,0.0364734313376214,0.0423419022738408,0.102243218857029,0.0267704440180515,0.0329102767422641,0.0142829970256249
"75",0.167212112813115,0.136282538808302,0.19885932501698,0.0761878796437007,0.119997572335934,0.0329036163833454,0.0106999828160166,0.0360594606528466,0.0431523196372348,0.100602202251557,0.0279456218062625,0.0355216966968822,0.0145664280191138
"76",0.181110747910491,0.127791804408488,0.188235386005755,0.0762688818595844,0.122057837862694,0.0353540489149109,0.00985476333576353,0.0381757598549658,0.0386934521931036,0.109538912536193,0.0277034859679035,0.0318029752416973,0.013397818217743
"77",0.16834997112329,0.134545532181673,0.198470536281849,0.0758415945445129,0.120314710084287,0.0329847790300322,0.0105508138106919,0.0364201412115306,0.0423842154787755,0.102090551960491,0.028277117694544,0.0353326729167396,0.0144241003891556
"78",0.172103530339602,0.130708340351078,0.196061677523815,0.0752852974240751,0.120952001154261,0.0331845088432866,0.0102221130780463,0.0373970805200068,0.0405663637871304,0.105972893321005,0.0288441220175089,0.0347284621977723,0.0139741493244655
"79",0.158306228492348,0.113833698329841,0.210915718850189,0.0730067779443986,0.115110221228451,0.0326321987223905,0.00890034016299427,0.0585240756330987,0.0319865238574675,0.123355637003001,0.0274678933993917,0.0323487001707938,0.0136267633596488
"80",0.177678047775733,0.130223838704446,0.190909213379781,0.0767293145694205,0.121471087986715,0.0351597261162132,0.0100836094232604,0.037483619230144,0.0400657122507542,0.106646458474897,0.0274690687502843,0.0322887103161058,0.0137931907739475
"81",0.152349162909315,0.116367989427332,0.216202572881687,0.0735644781186901,0.114765563697774,0.0323659218583412,0.00915061758388899,0.0569865438273464,0.0338686891033039,0.119405364240809,0.0275503211073344,0.0331511598219213,0.0142763512865807
"82",0.167065771194843,0.136574209551437,0.198896654417132,0.0762567749326911,0.119940269530166,0.032897068348512,0.010722518783332,0.0359955064471454,0.0432761808076151,0.100362699111115,0.0278818876441963,0.0355523439269281,0.0145877931986171
"83",0.174462007095243,0.133288107362755,0.192891233804041,0.0774507254627283,0.12069921639086,0.0349506904779945,0.0103724180411801,0.0367621583534505,0.0416389583142645,0.103542382007782,0.0270326002497541,0.032747989111271,0.0141591732401168
"84",0.179903236875436,0.128574472888455,0.189232462682327,0.0764086588337793,0.121873120086443,0.0352808267120511,0.00993059455013855,0.0379427814015462,0.0391461664566786,0.108557783315151,0.0276434875788195,0.0319772682919794,0.0135376475447109
"85",0.174868178403965,0.116744674851475,0.21223334000154,0.0715917471875305,0.105692085457071,0.041107928543718,0.0165524046434615,0.0373960085115505,0.0355283324360729,0.120603189847012,0.024425093924692,0.0281319678565396,0.0151200919022429
"86",0.170120331855945,0.132578294204214,0.197408717518589,0.0755208366998344,0.120668432694624,0.0330900683788629,0.0103817601641079,0.0368978745235048,0.0414712547812623,0.104024512848223,0.0285953053647302,0.0350400173631316,0.0142044007582036
"88",0.175001381977975,0.132708627131782,0.192589026471228,0.0773005531287256,0.12085593419993,0.0349880815675638,0.010315244677588,0.0368832857228782,0.0413542101758596,0.104088331229103,0.0271270776666496,0.032668013895221,0.0140966824209189
"89",0.156532488744837,0.107463520511024,0.230895335011339,0.0702489225232866,0.110877410274737,0.0317415570216953,0.00886712275874471,0.0530680494693849,0.0318947174680766,0.117788138065273,0.0300140884806647,0.0348815306118428,0.0157271653770432
"90",0.170731293268669,0.110842872821172,0.216215596738713,0.0731037978672047,0.107950904924212,0.0387587584205008,0.0131103427374591,0.0368408928490301,0.033369619909788,0.124830657240375,0.0300259652445358,0.028352980894739,0.0158628497477544
"91",0.173450637846805,0.134579976541517,0.193313039953229,0.0777943213111656,0.120373019378782,0.0348629342793184,0.010489529011491,0.0365053196809037,0.0422671062768221,0.102387168994758,0.0267970919603672,0.0328931111216984,0.0142816036398183
"92",0.168935633713401,0.111674867661564,0.218099157851281,0.0731237794819024,0.107815037215141,0.0388159825648894,0.0131994603226438,0.0364255169593809,0.0339923129851434,0.123351717393989,0.0299901249334901,0.0284834489930991,0.0161130440973094
"93",0.173181709274736,0.12988839191826,0.195136823634724,0.0752254757766677,0.121099800256462,0.0332415850954392,0.0101489145530129,0.0376406041238652,0.0401442898137026,0.106953853266116,0.0289319436151581,0.0345514450268211,0.0138383359368035
"94",0.175312713049748,0.132380016190097,0.19243442364642,0.0772246818187037,0.120948001548959,0.0350119475491982,0.010284619937944,0.0369632546522008,0.04118116385295,0.104423379443579,0.0271804029489823,0.0326268070618632,0.0140593131622712
"95",0.167472866212466,0.135824610920067,0.198803314666972,0.0760908406977963,0.120085476884339,0.0329224579975418,0.0106586869390983,0.0361499830453706,0.0429566613621179,0.100967220203473,0.0280348605720966,0.0354791626410548,0.0145386076199868
"97",0.153464337190743,0.115858347588676,0.215203910159331,0.0734606636810593,0.114854379471929,0.0324284978428608,0.00910138413036962,0.0572729133378703,0.0335065814518103,0.120152211426868,0.0275504210019971,0.0329968283625908,0.0141485740663169
"98",0.152523394656067,0.116284100255977,0.216057133947371,0.073554750328756,0.114777390537525,0.0323792589971416,0.00914128840172971,0.0570254874541809,0.0338193371416717,0.119493192605938,0.0275517381910457,0.0331259832148086,0.0142603223097883
"99",0.175390900484874,0.116063179219712,0.212009677698905,0.0714122747951012,0.105855932506133,0.0410601445306519,0.0165457198819934,0.0376501099530581,0.0352262831199682,0.121082629997453,0.0245449878556958,0.0281093245340925,0.0150496289988617
"100",0.145349178316149,0.111593897389123,0.241945081839202,0.0707837461403808,0.109956648773674,0.0312518592032565,0.00933962638656159,0.0502545461682271,0.0354204917651899,0.110494305069993,0.030141827326998,0.0362976575264206,0.0171713852598627
"102",0.188291034266853,0.119008773334432,0.199097560824614,0.0747476023812929,0.106526554679173,0.0368820317188614,0.0137944623187925,0.0362871771614249,0.0391501030056649,0.115695810659332,0.0254420478577454,0.0285154545479151,0.016558955832998
