"x","y","z","volume","id","AT1G19850","AT1G24260","AT1G30490","AT1G62360","AT1G69120","AT1G76420","AT1G80100","AT2G17950","AT2G27250","AT2G33860","AT2G34710","AT2G37630","AT2G45190","AT3G15170","AT3G54340","AT4G18960","AT4G21750","AT4G36920","AT4G37750","AT5G20240","AT5G53950","AT5G60690","AT5G61850"
"94",60.656,72.0178,10.2038,242.693,"94",1,0,1,0,1,0,0,0,0,1,1,1,0,0,0,0,0,1,1,0,0,1,1
"95",45.3513,56.4346,7.61627,34.6613,"95",1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,1,1
"97",70.3149,88.6834,11.263,425.697,"97",0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,1,1,0,0,0,1
"98",77.2618,83.6994,10.7422,378.973,"98",0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,1,1,0,0,0,1
"99",77.7094,54.3366,7.16935,17.6795,"99",1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"100",33.8833,83.3195,10.5928,322.264,"100",0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,1,1,1,0,0,0,1
"102",75.1834,51.4436,8.84921,72.8871,"102",1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
"103",57.9332,59.955,9.36379,54.6795,"103",1,0,1,0,1,0,0,0,0,1,1,1,0,0,0,0,0,1,1,0,0,1,1
"104",59.6649,99.047,10.4574,270.225,"104",0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,1,1,1,0,0,0,1
"105",83.4414,70.9012,9.70455,145.088,"105",1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,1,1
"106",68.4837,80.386,10.9948,139.618,"106",1,0,1,0,1,0,0,0,0,1,1,1,0,0,0,0,0,1,1,0,0,1,1
"107",81.7694,51.0091,8.57807,44.1819,"107",1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,1,1
"108",83.8733,85.8687,11.7878,257.766,"108",0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,1,1,1,0,0,0,1
"109",100.322,57.046,11.9107,294.883,"109",0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,1,1,1,0,0,0,1
"110",45.5646,85.5809,11.7787,345.636,"110",0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,1,1,0,0,0,1
"111",86.6458,66.0744,11.4455,211.37,"111",1,0,0,1,1,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0
"112",66.1845,68.037,9.2115,73.434,"112",1,0,1,0,1,0,0,0,0,1,1,1,0,0,0,0,0,1,1,0,0,1,1
"113",36.0213,76.0281,12.0281,394.849,"113",1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,1,1
"114",40.6434,71.1699,10.9089,206.515,"114",0,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,1,1
"115",46.0563,71.1277,10.1705,200.325,"115",1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,1,1
"116",49.8558,66.0292,10.8475,200.522,"116",1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,1,1
"117",38.5111,61.3722,11.0575,328.111,"117",1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
"118",54.8933,62.6866,10.1856,114.606,"118",1,0,1,0,1,0,0,0,0,1,1,1,0,0,0,0,0,1,1,0,0,1,1
"119",78.27,55.2462,13.8791,464.711,"119",1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"120",97.2777,62.4479,12.4799,246.759,"120",0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,1,1,1,0,0,0,1
"121",29.8052,78.605,12.9495,384.167,"121",0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,1,1,1,0,0,0,1
"122",53.0534,91.1353,12.5237,397.256,"122",0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,1,1,0,0,0,1
"123",74.1186,95.3951,13.0376,343.395,"123",0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,1,1,1,0,0,0,1
"124",75.1086,72.3998,12.5275,247.272,"124",1,0,1,0,1,0,0,0,0,1,1,1,0,0,0,0,0,1,1,0,0,1,1
"125",66.7673,51.0183,9.98362,26.2685,"125",1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"126",90.19,61.5769,12.2314,202.015,"126",1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,1,1
"127",85.5413,78.4711,11.4731,198.156,"127",1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,1,1,1,0,0,1,1
"128",24.1941,59.0984,9.89926,375.797,"128",0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
"129",41.7878,80.51,12.9737,326.289,"129",1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,1,1
"130",33.151,53.3749,12.144,106.432,"130",1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
"131",50.7634,73.6991,12.1169,106.866,"131",1,0,1,0,1,0,0,0,0,1,1,1,0,0,0,0,0,1,1,0,0,1,1
"132",72.5319,65.3955,11.7747,157.743,"132",1,0,1,0,1,0,0,0,0,1,1,1,0,0,0,0,0,1,1,0,0,1,1
"133",64.0642,54.8057,13.9234,477.932,"133",1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"134",44.0245,55.1997,12.7029,270.712,"134",1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"135",52.5195,97.8626,10.0416,347.782,"135",0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0
"136",54.9022,69.5706,10.8063,180.062,"136",1,0,1,0,1,0,0,0,0,1,1,1,0,0,0,0,0,1,1,0,0,1,1
"137",63.172,85.1076,13.7301,363.56,"137",1,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,1,1,0,0,0,1
"138",71.5661,51.557,13.6347,469.045,"138",1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"139",41.8326,50.8811,14.4093,367.479,"139",1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"140",73.9593,78.5414,11.9782,167.256,"140",1,0,1,0,1,0,0,0,0,1,1,1,0,0,0,0,0,1,1,0,0,1,1
"141",80.5788,80.2252,12.2664,116.428,"141",1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,1,1
"142",94.0665,66.5698,12.5174,106.375,"142",1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,1,1,1,0,0,1,1
"143",66.288,67.9936,12.844,168.278,"143",1,0,1,0,1,0,0,0,0,1,1,1,0,0,0,0,0,1,1,0,0,1,1
"144",79.4289,48.0176,13.3501,292.024,"144",1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
"145",40.004,83.6639,11.5237,39.1236,"145",0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,1
"146",64.0937,93.3349,15.3674,331.638,"146",0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,1,1,0,0,0,1
"147",18.4457,51.3041,14.9896,486.717,"147",0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0
"148",49.8205,78.3885,13.4465,149.852,"148",1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,1,1
"149",81.5854,67.3241,11.869,40.9078,"149",0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"150",64.4515,63.6603,14.7142,300.379,"150",1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,1,1
"151",95.9602,43.452,15.4268,286.362,"151",0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,1,1,0,0,0,1
"152",78.8963,79.1824,14.9406,200.752,"152",1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,1,1
"153",42.2384,63.1743,15.3064,489.339,"153",1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"154",49.2004,59.3942,15.1616,413.215,"154",1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"155",36.474,54.6671,12.665,67.2253,"155",1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
"156",81.2558,72.4924,13.9341,182.167,"156",1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,1,1
"158",87.4169,71.8378,13.0527,82.3398,"158",1,0,0,1,1,1,0,0,0,0,0,0,0,1,1,0,1,1,0,0,1,0,0
"159",21.7583,65.3007,16.4091,413.246,"159",0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
"160",29.6172,63.6365,15.5657,364.285,"160",0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"161",59.1542,74.012,15.4492,287.516,"161",1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,1,1
"162",66.5353,99.1004,14.713,235.428,"162",0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,1,1,1,0,0,0,1
"164",89.7962,68.9755,13.9092,76.5611,"164",1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,1,1,1,0,0,1,1
"165",34.569,66.8989,8.88704,339.359,"165",1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,1,1
"166",54.6328,65.9756,14.1502,262.534,"166",1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,1,1
"167",34.7022,46.286,17.5923,422.34,"167",1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,1,1
"168",57.7873,87.1646,13.0842,77.1684,"168",1,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,1,1,0,0,0,1
"169",92.044,53.7891,15.0736,201.416,"169",1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,1,1
"170",59.2423,61.1767,14.3168,183.6,"170",1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"171",61.0528,78.1008,13.5169,44.7439,"171",1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,1,1
"172",70.9481,44.8927,13.4083,34.0049,"172",1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"173",83.5057,62.8868,11.9421,167.26,"173",1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
